lane_id,distance_tier,date,day_of_week,is_weekend,is_holiday,is_peak_season,weather_risk_score,total_shipments,scanned_shipments,delayed_shipments,delay_rate,_shock_active_ground_truth
MEM-ATL,short,2023-08-25,4,0,0,0,0.2554,1680,1632,64,0.0392,0
MEM-ATL,short,2023-08-26,5,1,0,0,0.0986,1070,1051,38,0.0362,0
MEM-ATL,short,2023-08-27,6,1,0,0,0.407,953,918,45,0.049,0
MEM-ATL,short,2023-08-28,0,0,0,0,0.1363,1951,1903,63,0.0331,0
MEM-ATL,short,2023-08-29,1,0,0,0,0.0701,1855,1794,69,0.0385,0
MEM-ATL,short,2023-08-30,2,0,0,0,0.2315,1899,1875,70,0.0373,0
MEM-ATL,short,2023-08-31,3,0,0,0,0.0461,1870,1825,56,0.0307,0
MEM-ATL,short,2023-09-01,4,0,0,0,0.253,1571,1535,36,0.0235,0
MEM-ATL,short,2023-09-02,5,1,0,0,0.1671,938,911,50,0.0549,0
MEM-ATL,short,2023-09-03,6,1,0,0,0.0065,868,847,37,0.0437,0
MEM-ATL,short,2023-09-04,0,0,0,0,0.2298,1735,1697,59,0.0348,0
MEM-ATL,short,2023-09-05,1,0,0,0,0.0,1548,1491,48,0.0322,0
MEM-ATL,short,2023-09-06,2,0,0,0,0.038,2012,1973,59,0.0299,0
MEM-ATL,short,2023-09-07,3,0,0,0,0.2021,1538,1497,47,0.0314,0
MEM-ATL,short,2023-09-08,4,0,0,0,0.1779,1813,1762,58,0.0329,0
MEM-ATL,short,2023-09-09,5,1,0,0,0.2502,997,981,41,0.0418,0
MEM-ATL,short,2023-09-10,6,1,0,0,0.1032,856,838,46,0.0549,0
MEM-ATL,short,2023-09-11,0,0,0,0,0.1997,2214,2155,85,0.0394,0
MEM-ATL,short,2023-09-12,1,0,0,0,0.0765,1682,1660,55,0.0331,0
MEM-ATL,short,2023-09-13,2,0,0,0,0.1435,1595,1546,61,0.0395,0
MEM-ATL,short,2023-09-14,3,0,0,0,0.0342,1765,1718,59,0.0343,0
MEM-ATL,short,2023-09-15,4,0,0,0,0.2618,1773,1738,50,0.0288,0
MEM-ATL,short,2023-09-16,5,1,0,0,0.0954,1115,1089,49,0.045,0
MEM-ATL,short,2023-09-17,6,1,0,0,0.2015,1112,1077,45,0.0418,0
MEM-ATL,short,2023-09-18,0,0,0,0,0.3568,1932,1900,63,0.0332,0
MEM-ATL,short,2023-09-19,1,0,0,0,0.0426,2152,2083,90,0.0432,0
MEM-ATL,short,2023-09-20,2,0,0,0,0.3189,1717,1690,60,0.0355,0
MEM-ATL,short,2023-09-21,3,0,0,0,0.0037,1681,1652,66,0.04,0
MEM-ATL,short,2023-09-22,4,0,0,0,0.0919,1891,1853,84,0.0453,0
MEM-ATL,short,2023-09-23,5,1,0,0,0.1791,1055,1025,47,0.0459,0
MEM-ATL,short,2023-09-24,6,1,0,0,0.3752,1170,1128,60,0.0532,0
MEM-ATL,short,2023-09-25,0,0,0,0,0.2947,1951,1886,75,0.0398,0
MEM-ATL,short,2023-09-26,1,0,0,0,0.0865,1657,1621,59,0.0364,0
MEM-ATL,short,2023-09-27,2,0,0,0,0.4055,1706,1675,60,0.0358,0
MEM-ATL,short,2023-09-28,3,0,0,0,0.3574,1884,1846,56,0.0303,0
MEM-ATL,short,2023-09-29,4,0,0,0,0.1339,1629,1604,56,0.0349,0
MEM-ATL,short,2023-09-30,5,1,0,0,0.2066,884,858,45,0.0524,0
MEM-ATL,short,2023-10-01,6,1,0,0,0.0634,991,978,46,0.047,0
MEM-ATL,short,2023-10-02,0,0,0,0,0.1963,1925,1899,69,0.0363,0
MEM-ATL,short,2023-10-03,1,0,0,0,0.1815,1814,1749,53,0.0303,0
MEM-ATL,short,2023-10-04,2,0,0,0,0.0934,1772,1715,57,0.0332,0
MEM-ATL,short,2023-10-05,3,0,0,0,0.0,2018,1973,66,0.0335,0
MEM-ATL,short,2023-10-06,4,0,0,0,0.1894,1436,1410,54,0.0383,0
MEM-ATL,short,2023-10-07,5,1,0,0,0.0237,951,932,52,0.0558,0
MEM-ATL,short,2023-10-08,6,1,0,0,0.2027,1079,1043,46,0.0441,0
MEM-ATL,short,2023-10-09,0,0,0,0,0.1271,1799,1749,54,0.0309,0
MEM-ATL,short,2023-10-10,1,0,0,0,0.142,1443,1390,57,0.041,0
MEM-ATL,short,2023-10-11,2,0,0,0,0.0284,1795,1761,56,0.0318,0
MEM-ATL,short,2023-10-12,3,0,0,0,0.2886,1746,1699,65,0.0383,0
MEM-ATL,short,2023-10-13,4,0,0,0,0.3439,1958,1904,91,0.0478,0
MEM-ATL,short,2023-10-14,5,1,0,0,0.1942,1022,999,44,0.044,0
MEM-ATL,short,2023-10-15,6,1,0,0,0.0464,1065,1043,49,0.047,0
MEM-ATL,short,2023-10-16,0,0,0,0,0.135,1791,1736,68,0.0392,0
MEM-ATL,short,2023-10-17,1,0,0,0,0.2528,1942,1872,57,0.0304,0
MEM-ATL,short,2023-10-18,2,0,0,0,0.3425,1553,1507,47,0.0312,0
MEM-ATL,short,2023-10-19,3,0,0,0,0.0,1725,1684,55,0.0327,0
MEM-ATL,short,2023-10-20,4,0,0,0,0.0,1686,1628,55,0.0338,0
MEM-ATL,short,2023-10-21,5,1,0,0,0.2412,922,890,38,0.0427,0
MEM-ATL,short,2023-10-22,6,1,0,0,0.2485,934,901,43,0.0477,0
MEM-ATL,short,2023-10-23,0,0,0,0,0.0,1730,1674,54,0.0323,0
MEM-ATL,short,2023-10-24,1,0,0,0,0.1158,1739,1684,57,0.0338,0
MEM-ATL,short,2023-10-25,2,0,0,0,0.3124,1652,1605,36,0.0224,0
MEM-ATL,short,2023-10-26,3,0,0,0,0.107,1751,1698,53,0.0312,0
MEM-ATL,short,2023-10-27,4,0,0,0,0.0,1618,1591,55,0.0346,0
MEM-ATL,short,2023-10-28,5,1,0,0,0.2013,1028,999,42,0.042,0
MEM-ATL,short,2023-10-29,6,1,0,0,0.0,1049,1018,44,0.0432,0
MEM-ATL,short,2023-10-30,0,0,0,0,0.3992,2041,2009,74,0.0368,0
MEM-ATL,short,2023-10-31,1,0,0,0,0.1469,1821,1779,70,0.0393,0
MEM-ATL,short,2023-11-01,2,0,0,0,0.095,1668,1630,47,0.0288,0
MEM-ATL,short,2023-11-02,3,0,0,0,0.1012,1877,1823,71,0.0389,0
MEM-ATL,short,2023-11-03,4,0,0,0,0.4617,1776,1731,76,0.0439,0
MEM-ATL,short,2023-11-04,5,1,0,0,0.2016,932,901,35,0.0388,0
MEM-ATL,short,2023-11-05,6,1,0,0,0.194,984,965,49,0.0508,0
MEM-ATL,short,2023-11-06,0,0,0,0,0.1097,1479,1430,35,0.0245,0
MEM-ATL,short,2023-11-07,1,0,0,0,0.0,1579,1545,66,0.0427,0
MEM-ATL,short,2023-11-08,2,0,0,0,0.2058,1813,1758,63,0.0358,0
MEM-ATL,short,2023-11-09,3,0,0,0,0.1914,1727,1698,53,0.0312,0
MEM-ATL,short,2023-11-10,4,0,0,0,0.0435,1823,1755,59,0.0336,0
MEM-ATL,short,2023-11-11,5,1,1,0,0.1658,270,264,12,0.0455,0
MEM-ATL,short,2023-11-12,6,1,0,0,0.0962,852,840,41,0.0488,0
MEM-ATL,short,2023-11-13,0,0,0,0,0.0,1961,1932,62,0.0321,0
MEM-ATL,short,2023-11-14,1,0,0,0,0.1196,1823,1765,58,0.0329,0
MEM-ATL,short,2023-11-15,2,0,0,0,0.1962,1910,1863,68,0.0365,0
MEM-ATL,short,2023-11-16,3,0,0,0,0.1415,1683,1623,62,0.0382,0
MEM-ATL,short,2023-11-17,4,0,0,0,0.2158,1544,1513,49,0.0324,0
MEM-ATL,short,2023-11-18,5,1,0,0,0.1728,878,845,34,0.0402,0
MEM-ATL,short,2023-11-19,6,1,0,0,0.1783,913,879,47,0.0535,0
MEM-ATL,short,2023-11-20,0,0,0,1,0.0875,2527,2433,140,0.0575,0
MEM-ATL,short,2023-11-21,1,0,0,1,0.3029,2698,2627,166,0.0632,0
MEM-ATL,short,2023-11-22,2,0,0,1,0.0259,2927,2841,175,0.0616,0
MEM-ATL,short,2023-11-23,3,0,0,1,0.0971,3044,3006,182,0.0605,0
MEM-ATL,short,2023-11-24,4,0,0,1,0.1006,2498,2425,134,0.0553,0
MEM-ATL,short,2023-11-25,5,1,0,1,0.1014,1849,1799,147,0.0817,0
MEM-ATL,short,2023-11-26,6,1,0,1,0.2195,1554,1521,128,0.0842,0
MEM-ATL,short,2023-11-27,0,0,0,1,0.4604,2845,2782,596,0.2142,1
MEM-ATL,short,2023-11-28,1,0,0,1,0.5896,2778,2699,426,0.1578,1
MEM-ATL,short,2023-11-29,2,0,0,1,0.0417,3140,3078,204,0.0663,0
MEM-ATL,short,2023-11-30,3,0,0,1,0.0873,2887,2797,173,0.0619,0
MEM-ATL,short,2023-12-01,4,0,0,1,0.2503,2473,2432,161,0.0662,0
MEM-ATL,short,2023-12-02,5,1,0,1,0.13,1653,1614,121,0.075,0
MEM-ATL,short,2023-12-03,6,1,0,1,0.0925,1582,1540,110,0.0714,0
MEM-ATL,short,2023-12-04,0,0,0,1,0.1205,3221,3178,231,0.0727,0
MEM-ATL,short,2023-12-05,1,0,0,1,0.0344,2130,2079,134,0.0645,0
MEM-ATL,short,2023-12-06,2,0,0,1,0.8774,2644,2565,397,0.1548,1
MEM-ATL,short,2023-12-07,3,0,0,1,0.8252,2829,2733,513,0.1877,1
MEM-ATL,short,2023-12-08,4,0,0,1,0.6674,2937,2839,589,0.2075,1
MEM-ATL,short,2023-12-09,5,1,0,1,0.0393,1323,1299,95,0.0731,0
MEM-ATL,short,2023-12-10,6,1,0,1,0.2037,1312,1291,98,0.0759,0
MEM-ATL,short,2023-12-11,0,0,0,1,0.2433,3161,3119,174,0.0558,0
MEM-ATL,short,2023-12-12,1,0,0,1,0.0275,2991,2890,152,0.0526,0
MEM-ATL,short,2023-12-13,2,0,0,1,0.1054,3070,2966,164,0.0553,0
MEM-ATL,short,2023-12-14,3,0,0,1,0.3642,3322,3250,200,0.0615,0
MEM-ATL,short,2023-12-15,4,0,0,1,0.3,3160,3088,194,0.0628,0
MEM-ATL,short,2023-12-16,5,1,0,1,0.16,1230,1210,95,0.0785,0
MEM-ATL,short,2023-12-17,6,1,0,1,0.1514,1892,1862,136,0.073,0
MEM-ATL,short,2023-12-18,0,0,0,1,0.1439,2584,2551,176,0.069,0
MEM-ATL,short,2023-12-19,1,0,0,1,0.1553,2718,2648,137,0.0517,0
MEM-ATL,short,2023-12-20,2,0,0,1,0.2113,2359,2290,148,0.0646,0
MEM-ATL,short,2023-12-21,3,0,0,1,0.2731,3184,3124,196,0.0627,0
MEM-ATL,short,2023-12-22,4,0,0,1,0.3045,2906,2828,172,0.0608,0
MEM-ATL,short,2023-12-23,5,1,0,1,0.1803,1363,1332,90,0.0676,0
